,SM1_Dz(i),CATS2D_02_DA,AMR,Eig03_EA(dm),T(N..O),DLS_cons,SpPosA_B(p),SM1_Dz(p),P_VSA_MR_2,DLS_04
CC(C)CC(C)(C,0.642274850186166,0,76.7092,0.0,0,1.0,1.25979144062798,-1.22377543162212,117.711019965903,1.0
C1=CC(=CC=C1C(=O)O)[N+](=O)[O-],0.651074404138034,1,40.1411,0.0,12,0.723809523809524,1.19896963060891,-1.85629799036563,67.828270193339,0.4
C(C(=O)O)NCP(=O)(O)O,0.701561679160956,4,31.3181,0.0,15,0.866666666666667,1.11016993570374,-1.95795164409213,88.091488026038,0.9
O=C=O,0.297285808594476,0,6.3844,0.0,0,0.671428571428571,1.11330274232245,-1.22377543162212,50.2898540648355,0.2
CN1C=NC2=C1C(=O)NC(=O)N2C,0.809595993203193,3,44.4367,0.513954020726231,26,0.757142857142857,1.22399742297344,-1.75785791755238,50.2898540648355,0.8
CC1=CC(NC2=CC=CC=C12)(C)C,0.203104095976478,0,58.4628,0.0,0,0.814285714285714,1.30019176072351,-0.470003629245722,70.6266119795419,0.7
CNC1CCC(C2=CC=CC=C12)C3=CC(=C(C=C3)Cl)Cl,0.397836080943686,0,85.7406,0.0,0,0.764285714285714,1.32334190746917,-0.194414804481324,23.5422039931806,0.6
C=CCOC(=O)C1=CC=CC=C1C(=O)OCC=C,0.526147639863792,0,67.4384,0.636015229285823,0,0.8,1.23517445535277,-1.75785791755237,72.2896298400484,0.6
C(C(F)(F)F)(C(F)(F)F)(F)F,1.34276035909616,0,17.5372,1.51,0,0.761904761904762,0.844697169625106,-2.89829583486251,119.6809061681,0.5
C(CCC(=O)O)CC(=O)O,0.526147639863781,2,32.739,0.0,0,0.952380952380952,1.11388055058565,-1.75785791755238,135.656540386678,1.0
CN1C2CCC1C(C(C2)OC(=O)C3=CC=CC=C3)C(=O)OC,0.651074404138071,0,80.6618,0.8,18,0.928571428571429,1.22919171165631,-1.85629799036562,142.91624181959,1.0
CCOC(=O)C1=CC=C(C=C1)O,0.418249702467594,0,44.0276,0.0,0,0.852380952380952,1.21521098588804,-1.52605630349505,114.141464070716,0.8
CCC(C)(C,0.642274850186196,0,58.41,0.0,0,0.952380952380952,1.2500705937473,-1.22377543162213,117.711019965903,1.0
C12=C(NC(=O)N1)NC(=O)NC2=O,0.883808861628903,5,35.7138,0.987425058436533,39,0.685714285714286,1.16864453784838,-1.94591014905531,75.4347810972533,0.3
COC1=CC(=CC(=C1OC)OC)CC2=CN=C(N=C2N)N,0.883808861628895,3,81.5094,0.86,94,1.0,1.20923442250117,-1.94591014905532,32.9996636628193,1.0
CC(CC(=O)O)O,0.418249702467587,1,23.4635,0.0,0,0.952380952380952,1.09668626213325,-1.52605630349505,103.14157618311,1.0
C1CN1C2=NC(=NC(=N2)N3CC3)N4CC4,0.854925836122558,0,59.7384,0.8,0,1.0,1.11763730159828,-1.52605630349505,0.0,1.0
CCCCC1C(=O)N(N(C1=O)C2=CC=CC=C2)C3=CC=CC=C3,0.58589598981295,0,88.7583,0.214870555472689,10,0.9,1.26970018007881,-1.52605630349506,50.2898540648355,0.8
CCCCCOC(=O)C1=CC=CC=C1C(=O)OCCCCC,0.52614763986372,0,86.0614,0.0,0,0.857142857142857,1.21091987636983,-1.75785791755237,119.37403782641,1.0
C1=CN=CC=C1C(=O)NN,0.614482689376266,1,36.9658,0.0,10,0.752380952380952,1.20454127928529,-1.38629436111989,25.1449270324178,0.6
C1=CC=C(C=C1)C(C2=CC=CC=C2)C(=O)C3C(=O)C4=CC=CC=C4C3=O,0.418249702467542,0,99.7982,0.981968229572859,0,0.871428571428571,1.31434695715175,-1.52605630349505,75.4347810972533,0.6
C(CCl)C(F)(F)F,0.785179266006439,0,19.674,0.0,0,0.79047619047619,1.00814169586905,-1.97906856753305,44.8803398130374,0.7
CC1(OCC(O1)CO)C,0.41824970246758,0,32.7231,0.0,0,0.952380952380952,1.12457657369589,-1.52605630349505,70.6266119795419,1.0
C(F)(F)F,0.723239820867114,0,6.8629,-1.51,0,0.676190476190476,0.807459424803569,-2.00535087706865,44.8803398130374,0.4
CC(=O)OCCOCCOCCOC(=O)C,0.712263297752197,0,54.9436,0.86,0,0.857142857142857,1.12288323512058,-2.10413415427021,72.2896298400484,1.0
C(C(F)(F)F)(C(F)(Cl)Cl)F,1.10918948570588,0,26.8092,0.0,0,0.809523809523809,1.01448823890658,-2.4273746367568,59.8404530840499,0.5
CC(C)C=CCCCCC(=O)NCC1=CC(=C(C=C1)O)OC,0.556467981644742,1,90.0306,0.561448518436125,13,0.976190476190476,1.21801859213557,-1.64865862558737,78.8281580809454,1.0
CC(=C)C1CC2=C(O1)C=CC3=C2OC4COC5=CC(=C(C=C5C4C3=O)OC)OC,0.712263297752163,0,105.7119,0.86,0,0.9,1.25525390049837,-2.10413415427022,103.686570463631,0.8
CCCCCCCCCCCCOC(=O)C1=CC(=C(C(=C1)O)O)O,0.623529113679013,0,93.349,0.0,0,0.821428571428571,1.1841047374587,-1.94591014905531,187.737048395968,1.0
CC,0.0,0,11.0042,0.0,0,0.747619047619048,1.05,0.0,0.0,0.4
C1=CC=C2C(=C1)C(=O)OC2(C3=CC=C(C=C3)O)C4=CC=C(C=C4)O,0.526147639863798,0,88.3133,0.0,0,0.771428571428571,1.28012573191131,-1.75785791755236,121.511501241867,0.4
CC(C(=O)O)OC1=C(C=C(C=C1)Cl)Cl,0.578129068975674,1,52.7838,0.0,0,0.9,1.25499801629276,-1.43855468778099,114.141464070716,0.8
C(CCO)CO,0.29728580859448,0,24.0628,0.0,0,0.895238095238095,1.06914257613861,-1.22377543162212,47.0844079863613,0.6
C(C(C(F)(F)Cl)(F)Cl)(F)F,1.10918948570588,0,26.4008,1.51,0,0.809523809523809,1.01947178882591,-2.4273746367568,74.8005663550623,0.5
COc1c(OC)ncnc1NS(=O)(=O)c1ccc(cc1)N,0.918807561998436,3,79.6211,0.0,74,0.8,1.22651086788839,-2.05500795803856,66.3127278453936,0.6
CCC1(C(=O)NC(=O)NC1=O)CCC(C)C,0.67788124688951,4,58.0029,1.60472706636766,16,1.0,1.18910569506882,-1.75785791755237,75.4347810972533,1.0
C(C(C(F)(Cl)Cl)(F)F)(F)F,1.10918948570588,0,26.3171,1.51,0,0.809523809523809,1.02181240345291,-2.4273746367568,74.8005663550623,0.5
C1C2=C(C(=CC=C2)O)C(=O)C3=C1C=CC=C3O,0.41824970246757,0,63.7009,0.0,0,0.747619047619048,1.28609489429223,-1.52605630349505,110.51161335426,0.4
C(C(F)(F)Cl)(C(F)(F)Cl)F,1.10918948570588,0,26.8092,0.0,0,0.809523809523809,1.01716765955222,-2.4273746367568,59.8404530840499,0.5
C(C(F)(F)Cl)(F)Cl,0.843504962148502,0,21.7328,0.0,0,0.761904761904762,1.06794227123953,-1.95207681034099,44.8803398130374,0.5
CC(CCl)Br,0.164327293421675,0,28.0573,0.0,0,0.761904761904762,1.36931995837538,0.479768299300647,35.313305989771,0.5
C(=O)(C(=O)O)O,0.526147639863776,2,14.4386,0.0,0,0.80952380952381,1.04533611842185,-1.75785791755237,135.656540386678,0.5
COC1=C2C(=CC3=C1OC=C3)C=CC(=O)O2,0.526147639863779,0,56.928,0.0,0,0.771428571428571,1.28070147289538,-1.75785791755238,56.6520490938793,0.4
C1=C(C(=CC(=C1Cl)Cl)Cl)OCC(=O)O,0.649404257612049,1,53.1704,0.0,0,0.771428571428571,1.26712019553439,-1.39175442778925,78.8281580809454,0.4
C1(C(O1)(F)F)(C(F)(F)F)F,1.19249721085091,0,16.8153,1.18103397503776,0,0.885714285714286,0.886898276571641,-2.71186956470499,89.7606796260748,0.7
C=CC(=O)N,0.335257213064666,1,19.1887,0.0,2,0.738095238095238,1.17443010101787,-1.02961941718116,25.1449270324178,0.5
C1=C(C=C(C(=C1O)O)O)C(=O)O,0.623529113679076,1,37.8987,0.0,0,0.723809523809524,1.14732821282065,-1.94591014905531,195.878299676103,0.4
C1=CC(=CC(=C1)N=NC2=C(C=C(C=C2)N)N)N=NC3=C(C=C(C=C3)N)N,1.03019068254944,0,113.4976,0.0,0,0.583333333333333,1.26133139344661,-1.75785791755239,0.0,0.5
C(C(CO)(CO)CO)O,0.52614763986378,0,31.7277,0.0,0,0.90952380952381,1.04398977775923,-1.75785791755238,0.0,0.7
