SMILES,cluster,odour
CC(C)CCOC(=O)CC(C)C,1,True
CCCCCC=CC=CC=O,6,True
CCCCCC=O,4,True
CC(C)O,0,True
CC(=O)C,0,True
CCCC=CC=O,4,True
CCC=CCC=O,4,True
CC1C(C2=C(C1(C)C)C=C(C(=C2)C(=O)C)C)C(C)C,3,True
C1=CC=C(C(=C1)C(=O)O)O,4,False
CC1=CCCC(C1C=CC(=O)C)(C)C,8,True
CCCCCCCCC(=O)C,1,True
CCCCCC1CCCC(=O)O1,1,True
CCCCCCC1CCC(=O)O1,1,True
CCCO,0,True
CCCCO,4,True
CCCCCO,4,True
C1=CC=CC=C1,0,True
CCCCCCC1CCCC(=O)O1,1,True
CI,0,True
CN,0,True
CS,0,True
CCC(C)C(=O)OCC,6,True
CCCCCCCC1CCC(=O)O1,1,True
CCCCCCCCC(=O)OCC=C,1,True
C=CCCCCCCCCC(=O)OCC=C,5,True
CCN,0,True
CC=O,0,True
CCS,0,True
CSC,0,True
CC(C)N,0,True
CC(C)S,0,True
CN(C)C,0,True
CC(C)(C)O,4,True
CC(C)(C)S,4,True
CC(CCC=C(C)C)CCO,1,True
CCCCC(=O)OCCC(C)CCC=C(C)C,5,True
CC1(C2CCC1(C(=O)C2)C)C,1,True
N,0,True
CCOC(=O)C1C(O1)(C)C2=CC=CC=C2,9,True
CCOC(=O)CC(CC(=O)OCC)(C(=O)OCC)O,5,False
CC1N=C(CO1)C,4,True
CCCCOC(=O)C1=CC=CC=C1N,1,True
CCC(=O)C=CC1C(=CCCC1(C)C)C,8,True
ClCl,0,True
S,0,True
COC1=C(C=CC(=C1)C=C)O,6,True
CC1(C2CCC(C2)(C1=O)C)C,1,True
CC1=CC(=O)CC(C1)(C)C,6,True
CC(=CCCC(C)(C=C)O)C,1,True
CC(C)CN,4,True
CC(C)CO,4,True
CC(C)C=O,0,True
CC(=C)C=O,0,True
CCC(C)O,4,True
CCC(=O)C,0,True
CC(CN)O,4,True
CC(=O)C=O,0,True
CCC(=O)O,0,True
CC(=O)OC,0,True
CC(C)C(=O)O,4,True
CC(C(=O)O)S,0,True
CC1=C(C(CCC1)(C)C)C=CC(=O)C,8,True
CC1(C2CCC(C2)C1=C)C,6,True
CC(=C)C(=O)OC,4,True
CC1=C(C(=O)CC1)O,4,True
CC1=C(C(=C(C(=C1[N+](=O)[O-])C(C)(C)C)[N+](=O)[O-])C)[N+](=O)[O-],3,True
CCCCCCCC(=O)C,1,True
CC1=CNC2=CC=CC=C12,4,True
